name
Birmingham
Huntsville
Montgomery
Mobile
Tuscaloosa
Hoover
Dothan
Auburn
Decatur
Madison
Florence
Phenix City
Prattville
Gadsden
Vestavia Hills
Alabaster
Opelika
Athens
Enterprise
Daphne
Bessemer
Northport
Homewood
Pelham
Fairhope
Trussville
Foley
Albertville
Prichard
Oxford
Anniston
Helena
Mountain Brook
Troy
Tillmans Corner
Cullman
Selma
Millbrook
Center Point
Calera
Talladega
Chelsea
Hueytown
Muscle Shoals
Saraland
Hartselle
Scottsboro
Pell City
Gardendale
Ozark
Alexander City
Fort Payne
Irondale
Jasper
Moody
Gulf Shores
Jacksonville
Leeds
Sylacauga
Eufaula
Pike Road
Saks
Fairfield
Clay
Russellville
Boaz
Spanish Fort
Rainbow City
Pleasant Grove
Bay Minette
Meadowbrook
Fultondale
Atmore
Clanton
Southside
Valley
Forestdale
Sheffield
Guntersville
Andalusia
Tuscumbia
Arab
Wetumpka
Tuskegee
Greenville
Brook Highland
Robertsdale
Meridianville
Pinson
Montevallo
Lincoln
Moores Mill
Hamilton
Oneonta
Orange Beach
Demopolis
Opp
Theodore
Satsuma
Grayson Valley
Tarrant
Lanett
Roanoke
Harvest
Semmes
Attalla
Chickasaw
Margaret
Highland Lakes
Monroeville
Smiths Station
Rainsville
Fort Rucker
Brewton
Daleville
Glencoe
Midfield
Childersburg
Headland
Brent
Columbiana
Jackson
Pine Level
Winfield
Holtville
Tallassee
Piedmont
Argo
Redland
Mount Olive
Springville
Geneva
Hokes Bluff
Adamsville
Fayette
Priceville
Haleyville
Alexandria
Holt
Odenville
Hazel Green
Grand Bay
Citronelle
Elba
Thomasville
Loxley
Kimberly
Centre
Hanceville
Emerald Mountain
Valley Grande
Ladonia
Evergreen
Heflin
Union Springs
West End-Cobb Town
Warrior
Moulton
Underwood-Petersville
Livingston
Cottondale
Red Bay
Weaver
Marion
Lake View
Choccolocco
Dadeville
New Hope
La Fayette
Clayton
Brighton
Jemison
Luverne
Point Clear
Whitesboro
Hartford
Huguley
Centreville
Carlisle-Rockledge
Indian Springs Village
Abbeville
Eutaw
Trinity
Moundville
Taylor
Bayou La Batre
Ashville
Riverside
Good Hope
Midland City
Owens Cross Roads
Kinsey
East Brewton
Henagar
Sumiton
Bridgeport
Guin
Lineville
Vincent
Ashford
Morris
Greensboro
Aliceville
York
Uniontown
Cowarts
Lipscomb
Smoke Rise
Thorsby
Creola
Wilsonville
Graysville
Summerdale
Collinsville
Level Plains
Stevenson
Florala
Sylvania
Slocomb
Dora
Lookout Mountain
Carbon Hill
Ashland
Brundidge
Crossville
Cedar Bluff
Linden
Brookwood
Samson
Rehobeth
Cordova
Vernon
Sulligent
Selmont-West Selmont
Elberta
Sardis City
Westover
Ragland
Harpersville
Lillian
Vance
Woodstock
Grove Hill
Blountsville
Camden
Coaling
Butler
Stewartville
Marbury
Concord
Triana
Ballplay
Gordo
Georgiana
Ardmore
Silverhill
Reform
Webb
Rock Creek
Mount Vernon
Blue Ridge
Sylvan Springs
Malvern
Newton
Stapleton
Dauphin Island
Flomaton
Elmore
Fayetteville
Shoal Creek
Coats Bend
New Brockton
Hayden
Munford
Redstone Arsenal
Goodwater
Brookside
Coosada
Cleveland
Rogersville
